分层维度,分层,模型,预测步长/小时,RMSE,MAE,R2,样本数
季节,旱季,机理专家,4,0.2492580249717195,0.17906317059683818,0.03512761326989455,660
季节,旱季,LightGBM,4,0.2984266515617516,0.20946107061838096,-0.3830783741367305,660
季节,旱季,GRU,4,0.33660893361419064,0.22632716066683783,-0.7596360652806253,660
季节,旱季,MoE,4,0.24166591591264625,0.1653661586019126,0.09301023963160227,660
季节,旱季,季节朴素,6,0.20106911219475723,0.07712121212121212,0.37657071732610603,660
季节,旱季,机理专家,6,0.2505528149618268,0.17979969733765463,0.03195610700154505,660
季节,旱季,LightGBM,6,0.3387241489107698,0.25320535466888083,-0.7692483414364832,660
季节,旱季,GRU,6,0.33689280979078434,0.21684679357301107,-0.7501688940539517,660
季节,旱季,MoE,6,0.2439256016824142,0.16861871532418513,0.08248907003022976,660
季节,旱季,季节朴素,8,0.20103859119958822,0.07707575757575758,0.38129002856872507,660
季节,旱季,机理专家,8,0.2518330392910516,0.18045190891755555,0.029146580376786302,660
季节,旱季,LightGBM,8,0.32057984662656686,0.21942892168840586,-0.5732606650921523,660
季节,旱季,GRU,8,0.3344126702914602,0.2087720709199255,-0.7119603358107691,660
季节,旱季,MoE,8,0.23997477287486849,0.15848854305888668,0.1184246676596441,660
季节,旱季,季节朴素,10,0.20351457396997844,0.0781818181818182,0.36516714456226285,660
季节,旱季,机理专家,10,0.2518205224481022,0.18031941163900755,0.028035045057496766,660
季节,旱季,LightGBM,10,0.3769246486424345,0.27380049807482076,-1.1775966634828334,660
季节,旱季,GRU,10,0.3436613908705053,0.23128713747633228,-0.8102137191756698,660
季节,旱季,MoE,10,0.2446119359542661,0.1663424442916205,0.08288529971767855,660
季节,旱季,季节朴素,12,0.205975506046008,0.07931818181818182,0.3489095874190514,660
季节,旱季,机理专家,12,0.2517831417606672,0.180155802808428,0.027110670658668456,660
季节,旱季,LightGBM,12,0.35937340330607276,0.26652637282727054,-0.981992506788085,660
季节,旱季,GRU,12,0.3264157371103504,0.20920570219737114,-0.6351301283089403,660
季节,旱季,MoE,12,0.2469468198514257,0.16971269048795556,0.0641267828696388,660
工况,平稳工况,季节朴素,2,0.8142063698340172,0.24247226624405704,0.03322021230795247,1262
工况,平稳工况,机理专家,2,0.8861785563172204,0.3772947711750732,-0.14525196156141362,1262
工况,平稳工况,LightGBM,2,0.835208721514635,0.3901100831692769,-0.01729898725948087,1262
工况,平稳工况,GRU,2,0.856458794224674,0.3907755721878798,-0.0697234515134495,1262
工况,平稳工况,MoE,2,0.8111781503912932,0.33765213654932996,0.0403981888307926,1262
工况,平稳工况,季节朴素,4,0.8194613340307607,0.24473058637083991,-0.01755980666435608,1262
工况,平稳工况,机理专家,4,0.8708818811224346,0.3749778365453436,-0.14926854790505706,1262
工况,平稳工况,LightGBM,4,0.8279965400073117,0.3884815469783202,-0.038867249696791006,1262
工况,平稳工况,GRU,4,0.8422623290836634,0.38484756124095193,-0.07497351728948454,1262
工况,平稳工况,MoE,4,0.8035181290975439,0.32718182381000455,0.021649725846268786,1262
工况,平稳工况,季节朴素,6,0.8088075000318465,0.2426148969889065,0.005158720227881108,1262
工况,平稳工况,机理专家,6,0.8697167726527618,0.3754144301574502,-0.15032126724015482,1262
工况,平稳工况,LightGBM,6,0.8456995399812374,0.4084259236623586,-0.08766623482851688,1262
工况,平稳工况,GRU,6,0.8550502462170463,0.3841977524837677,-0.1118513575954585,1262
工况,平稳工况,MoE,6,0.8211787444358333,0.3400220821918285,-0.025507537701267236,1262
工况,平稳工况,季节朴素,8,0.8307499046767588,0.2477892234548336,-0.04262819022018527,1262
工况,平稳工况,机理专家,8,0.8730458453252438,0.376900780210621,-0.15149740269567902,1262
工况,平稳工况,LightGBM,8,0.8610839099191329,0.3968952040421275,-0.12015935725780569,1262
工况,平稳工况,GRU,8,0.8468722968878748,0.37203689276510865,-0.08348952129176745,1262
工况,平稳工况,MoE,8,0.8282322309799166,0.3359682209966867,-0.036318180693288626,1262
工况,平稳工况,季节朴素,10,0.8235272596490677,0.24586370839936605,-0.0280362502571605,1262
工况,平稳工况,机理专家,10,0.8718594979790638,0.3766297921187157,-0.15224670882356794,1262
工况,平稳工况,LightGBM,10,0.8758102660912453,0.42252122505358825,-0.1627130137322066,1262
工况,平稳工况,GRU,10,0.850988078320265,0.38344084364345826,-0.0977398296572789,1262
工况,平稳工况,MoE,10,0.8325867918741783,0.34046553689732606,-0.05077928874390092,1262
工况,平稳工况,季节朴素,12,0.8205156181062369,0.24601426307448496,-0.02042339236083346,1262
工况,平稳工况,机理专家,12,0.8721529249981234,0.37723889049833825,-0.15290091829760177,1262
工况,平稳工况,LightGBM,12,0.8492888173580829,0.4174959727942097,-0.09324503402744555,1262
工况,平稳工况,GRU,12,0.8385959626624643,0.3694869213568994,-0.06588962806946186,1262
工况,平稳工况,MoE,12,0.8139297065562711,0.3350374480434907,-0.004108170167172576,1262
工况,原水突变,季节朴素,2,1.1284059553192725,0.47235294117647064,-0.2573838696472541,17
工况,原水突变,机理专家,2,1.1490122190482297,0.6020339821906397,-0.3037263400851147,17
工况,原水突变,LightGBM,2,1.025483668595983,0.5808795524926604,-0.03847164394161795,17
工况,原水突变,GRU,2,1.096536077348627,0.5437101723516689,-0.1873615897997596,17
工况,原水突变,MoE,2,1.0062073524252264,0.5199434656606002,0.00020233423989246546,17
工况,原水突变,季节朴素,4,1.2313550641945836,0.5423529411764705,-0.4598361169116205,17
工况,原水突变,机理专家,4,1.1773298519669697,0.6311958034060161,-0.3345468186055933,17
工况,原水突变,LightGBM,4,1.058539892825211,0.5900460568749922,-0.07882738458354366,17
工况,原水突变,GRU,4,1.1415345526106975,0.6007414826224832,-0.25462987700901474,17
工况,原水突变,MoE,4,1.0446123692649234,0.534945403617971,-0.050625240981129194,17
工况,原水突变,季节朴素,6,1.6854707842931846,0.6752941176470589,-1.5457954717411742,17
工况,原水突变,机理专家,6,1.2312591500570798,0.6814298759914942,-0.3585636606211924,17
工况,原水突变,LightGBM,6,1.1296488481775777,0.6368191532683077,-0.14358376043007826,17
工况,原水突变,GRU,6,1.1852448657271706,0.623377392502392,-0.2589173451697373,17
工况,原水突变,MoE,6,1.1234752015391636,0.6007160045469507,-0.13111831151820685,17
工况,原水突变,季节朴素,8,0.9025421613094741,0.39235294117647057,0.18607104331470914,17
工况,原水突变,机理专家,8,1.1654382048962333,0.6524089898436877,-0.357156727214752,17
工况,原水突变,LightGBM,8,1.1039445994600339,0.625405769758426,-0.2177161349285197,17
工况,原水突变,GRU,8,1.1428587537336707,0.5951787821685566,-0.30507845554731605,17
工况,原水突变,MoE,8,1.1012071080655879,0.583839836471221,-0.21168439319596954,17
工况,原水突变,季节朴素,10,1.1255534586305949,0.4494117647058824,0.09488707521874706,17
工况,原水突变,机理专家,10,1.3515456582397083,0.7015385189219258,-0.30506444013399303,17
工况,原水突变,LightGBM,10,1.2995208231522155,0.6809101471964787,-0.2065268710844308,17
工况,原水突变,GRU,10,1.3488905835952585,0.6743994679871728,-0.299941949463461,17
工况,原水突变,MoE,10,1.300086404826248,0.6465639080370176,-0.20757731671213864,17
工况,原水突变,季节朴素,12,1.190274313415387,0.44941176470588234,0.028179918929862713,17
工况,原水突变,机理专家,12,1.3670987971893,0.6779511744669628,-0.2820103999553982,17
工况,原水突变,LightGBM,12,1.261406103731335,0.640405826199003,-0.09144436293712155,17
工况,原水突变,GRU,12,1.3367696357135548,0.6489026769820382,-0.22575843406441498,17
